id,title,description,dimension,analysis_type,deps,context_from,wave,status,findings,score,recommendations,error
"1","Dependency: ProComponents","Add @ant-design/pro-components and verify build compatibility.","implementation","plan","","","1","pending","Use ProLayout, PageContainer, ProCard, ProTable, ProForm, ProDescriptions as primary UI primitives.","","",""
"2","Layout: Workbench Shell","Create shared B-end workbench layout with sidebar and route actions.","architecture","plan","1","1","1","pending","Replace hand-written top-level page surface with ProLayout-driven shell.","","",""
"3","Cleanup: Remove Review/Conflict UI","Remove visible review queue and conflict labels while keeping backend compatibility fields.","implementation","plan","2","2","1","pending","Affected files include App.tsx, DomainPanel.tsx, catalogLabels.tsx, ProblemEditorModal.tsx, AtCoderCatalogPage.tsx.","","",""
"4","GESP: Practice Workbench","Rebuild main page according to b-01 prototype using ProCards, metrics, filters, current problem and draft package.","implementation","plan","2;3","2;3","1","pending","Main page becomes practice workflow, not admin/catalog-only view.","","",""
"5","GESP: Problem Detail + IDE Entry","Optimize problem detail and practice entry according to b-02 prototype.","implementation","plan","4","4","1","pending","Keep existing ProblemIdePage entry, improve details for exercise use.","","",""
"6","GESP: Problem Maintenance","Create maintenance page using ProTable + ProForm according to b-06 prototype.","implementation","plan","2;3","2;3","1","pending","Move from modal-centric maintenance to full page maintenance.","","",""
"7","GESP: Source Evidence","Create source evidence page using audit/source data according to b-05 prototype.","implementation","plan","2;3","2;3","1","pending","Start with existing audit and problem source data; add backend aggregate only if necessary.","","",""
"8","GESP: Knowledge Coverage","Create knowledge coverage page according to b-04 prototype.","implementation","plan","2;4","2;4","1","pending","Supports coverage scan and jump back to filtered practice workbench.","","",""
"9","AtCoder: Split Page Modules","Split 1455-line AtCoderCatalogPage into page and feature modules.","maintainability","plan","2;3","2;3","1","pending","Required before deeper AtCoder UI changes to stay under file-length guideline.","","",""
"10","AtCoder: Catalog Page","Rebuild AtCoder catalog page according to b-07 prototype.","implementation","plan","9","9","1","pending","Use AtCoder-specific difficulty, domains and tags; do not reuse GESP catalog component.","","",""
"11","AtCoder: Detail Page","Add standalone AtCoder detail route/page according to b-08 prototype.","implementation","plan","9;10","9;10","1","pending","Route should deep-link and refresh independently.","","",""
"12","AtCoder: Maintenance Page","Add AtCoder maintenance page using ProTable + ProForm according to b-10 prototype.","implementation","plan","9;10","9;10","1","pending","Use existing AtCoder CRUD and independent atcoder_problem_bank fields.","","",""
"13","IDE: Practice Page Polish","Adjust shared IDE layout according to b-09 prototype without replacing Monaco.","implementation","plan","5;11","5;11","1","pending","Keep source=gesp/atcoder support and sample run behavior.","","",""
"14","Backend: Optional Aggregates","Add read-only aggregate endpoints only if frontend composition requires them.","backend","plan","4;7;8","4;7;8","1","pending","Candidate endpoints: workbench summary, source evidence, practice package draft.","","",""
"15","Verification","Run builds and browser visual checks across key routes.","quality","plan","1;2;3;4;5;6;7;8;9;10;11;12;13;14","all","1","pending","Verify desktop 1440 and mobile 390, plus no forbidden visible wording.","","",""
